,ID,D,E_Brent,BE_F,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
28,28,1,55,69.79599973120091,0.3,1,0,1,0,1,8284.4341,-102415.2802,18111.0983,326759.3979,18111.0983,0.016347743859888988,1074618.7714,388710.2046,1686600.6675,58.78514819199995
29,29,1,55,70.69240674072185,0.35,1,0,1,0,1,7851.7122,-106813.1916,18004.0603,326759.3979,18004.0603,0.01681069573198576,1074618.7714,397292.789,1748256.2313,58.78514819199995
30,30,1,55,57.643425033551125,0.15,1,0,1,1,0,9863.1216,-71116.1959,13694.3403,326759.3979,13694.3404,0.018729960841822997,1530386.5669,362962.4517,2120112.9409,95.66645463999996
31,31,1,55,58.57520012294953,0.2,1,0,1,1,0,9365.9994,-80736.8689,13605.0096,326759.3979,13605.0095,0.017832751222434433,1530386.5669,371545.036,2220982.5022,95.66645463999996
32,32,1,55,59.514653924774336,0.25,1,0,1,1,0,8868.8772,-90465.1151,13519.5231,326759.3979,13519.5231,0.016830724048765566,1530386.5669,380127.6203,2321852.0636,95.66645463999996
33,33,1,55,60.36971505143319,0.3,1,0,1,1,0,8284.4341,-100221.614,13294.7439,326759.3979,13294.7439,0.017699724856312153,1530386.5669,388710.2046,2422721.625,95.66645463999996
34,34,1,55,61.32435717845823,0.35,1,0,1,1,0,7851.7122,-110263.114,13250.8349,326759.3979,13250.835,0.01673678452591429,1530386.5669,397292.789,2523591.1863,95.66645463999996
35,35,1,55,60.976452713179484,0.15,1,0,1,1,1,9863.1216,-106944.0516,15363.0361,326759.3979,15363.0361,0.04173320870285009,1948587.1949,362962.4517,2545529.2088,115.63635934399994
36,36,1,55,61.835382647925,0.2,1,0,1,1,1,9365.9994,-115120.8423,15237.235,326759.3979,15237.2351,0.042546333646705764,1948587.1949,371545.036,2661866.5096,115.63635934399994
37,37,1,55,62.69431256752621,0.25,1,0,1,1,1,8868.8772,-125749.2824,15111.434,326759.3979,15111.4339,0.043359458192969116,1948587.1949,380127.6203,2778203.8103,115.63635934399994
38,38,1,55,63.553242503368566,0.3,1,0,1,1,1,8284.4341,-136430.4683,14985.6329,326759.3979,14985.633,0.044172583165620546,1948587.1949,388710.2046,2894541.1111,115.63635934399994
39,39,1,55,64.46102082512132,0.35,1,0,1,1,1,7851.7122,-147401.9138,14884.2881,326759.3979,14884.2881,0.04301137854433743,1948587.1949,397292.789,3010878.4118,115.63635934399994
40,40,1,55,34.398104096473865,0.15,1,1,0,0,0,9863.1216,114213.3502,2747.6662,326759.3979,2747.6663,2.1978609256037114e-10,392658.6658,362962.4517,886523.38,45.07856308799996
41,41,1,55,35.59099607168837,0.2,1,1,0,0,0,9365.9994,107810.9161,2856.4258,326759.3979,2856.4258,0.0,392658.6658,371545.036,964132.4104,45.07856308799996
42,42,1,55,36.7888103371221,0.25,1,1,0,0,0,8868.8772,101142.322,2967.1274,326759.3979,2967.1273,0.0,392658.6658,380127.6203,1041741.4409,45.07856308799996
43,43,1,55,38.03605240832687,0.3,1,1,0,0,0,8284.4341,94453.547,3097.3301,326759.3979,3409.2893,0.0021125430031434618,392658.6658,388710.2046,1119350.4714,45.07856308799996
44,44,1,55,39.288674823991336,0.35,1,1,0,0,0,7851.7122,84976.7555,3229.6555,326759.3979,3826.7644,0.004043535081232083,392658.6658,397292.789,1196959.5019,45.07856308799996
45,45,1,55,40.298794952818575,0.15,1,1,0,0,1,9863.1216,67497.0294,5310.7307,326759.3979,5053.6548,0.00854949400281356,810859.2938,362962.4517,1311939.6479,65.04846779199994
46,46,1,55,41.40563970511334,0.2,1,1,0,0,1,9365.9994,59901.4796,5365.4014,326759.3979,5365.4014,0.012011806386847177,810859.2938,371545.036,1405016.4178,65.04846779199994
47,47,1,55,42.528551716321516,0.25,1,1,0,0,1,8868.8772,52345.9556,5427.1472,326759.3979,5427.1473,0.01171460947173521,810859.2938,380127.6203,1498093.1876,65.04846779199994
48,48,1,55,43.6535201880549,0.3,1,1,0,0,1,8284.4341,44801.8656,5489.7986,326759.3979,5489.7986,0.011141583786531193,810859.2938,388710.2046,1591169.9575,65.04846779199994
49,49,1,55,44.71545921796342,0.35,1,1,0,0,1,7851.7122,37108.2384,5524.6954,326759.3979,5524.6954,0.013202159971550328,810859.2938,397292.789,1684246.7274,65.04846779199994
50,50,1,55,43.39334138952064,0.15,1,1,0,1,0,9863.1216,74487.4288,6673.3962,326759.3979,6673.3962,0.0352441494852523,1266627.0893,362962.4517,1930418.6124,101.92977423999994
51,51,1,55,44.486882273242074,0.2,1,1,0,1,0,9365.9994,63043.1,6722.2087,326759.3979,6722.2086,0.03566855674860454,1266627.0893,371545.036,2062709.3799,101.92977423999994
52,52,1,55,45.46926681828821,0.25,1,1,0,1,0,8868.8772,51575.7767,6722.074,326759.3979,6722.0741,0.03736786788960415,1266627.0893,380127.6203,2195000.1474,101.92977423999994
53,53,1,55,46.56482503734626,0.3,1,1,0,1,0,8284.4341,38733.6275,6771.7748,326759.3979,6771.7748,0.03763123607544906,1266627.0893,388710.2046,2327290.9149,101.92977423999994
