,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
17,17,60,1,0.5900000000000001,0,1,0,1,1,1,406171.7641,46160.4985,615670.1143,61482.5228,677152.6371,1.5064849638728348,149772.2715,8424079.401,8674777.7062,61.14526068848048,64.65164305382167,3.5063823653411963,50.92907592120289,55.23085250805632,4.301776586853434,2037.0,2043.0,24.9479,27.99,1.1673,0.9996,774266.9633,48460.2892,190088.076,1466990.2524,1842.6613,1040.1343,1040.1343,1040.1343,1040.1343,1040.1343
18,18,70,1,0.5900000000000001,0,1,0,1,1,1,406171.7641,46160.4985,843532.169,64727.5168,908259.6858,1.732703110102678,149772.2715,8424079.401,8674777.7062,66.69787780882689,70.6587787226781,3.9609009138512046,50.92907592120289,55.23085250805632,4.301776586853434,2037.0,2048.0,24.9479,30.3285,1.1673,0.9163,774266.9633,48460.2892,190088.076,1466990.2524,1842.6613,645.8415,645.8415,645.8415,645.8415,645.8415
19,19,80,1,0.5900000000000001,0,1,0,1,1,1,406171.7641,46160.4985,1068413.5553,73648.2496,1142061.8049,2.0663524050531583,149772.2715,8424079.401,8674777.7062,70.23795823489473,74.4669559211572,4.228997686262461,50.92907592120289,55.23085250805632,4.301776586853434,2037.0,2052.0,24.9479,32.1132,1.1673,0.8704,774266.9633,48460.2892,190088.076,1466990.2524,1842.6613,441.1185,441.1185,441.1185,441.1185,441.1185
20,20,50,1,0.5700000000000001,0,1,0,1,1,0,391529.6741,23397.0795,363612.2938,51314.4598,414926.7536,2.9812939240811067,52569.2929,8424079.401,8457617.1577,49.20266656794178,50.17443471377654,0.9717681458347579,49.20266656794178,50.17443471377654,0.9717681458347579,2037.0,2037.0,25.8913,25.8913,0.451,0.451,733716.3131,16228.3849,177895.7689,1343584.7177,817.4972,817.4972,817.4972,817.4972,817.4972,817.4972
21,21,60,1,0.5900000000000001,0,1,0,1,1,0,406171.7641,23685.8793,615670.1143,28131.5642,643801.6784,1.7014883524727822,52569.2929,8424079.401,8457617.1577,61.14526068848048,62.331000842143865,1.1857401536633916,50.92907592120289,51.93494119496168,1.005865273758798,2037.0,2044.0,25.8913,29.3382,0.4357,0.3641,759460.7452,16228.3849,184363.7705,1390728.0412,817.4972,419.5053,419.5053,419.5053,419.5053,419.5053
22,22,70,1,0.5900000000000001,0,1,0,1,1,0,406171.7641,23685.8793,843532.169,20609.3568,864141.5258,1.3515088247411156,52569.2929,8424079.401,8457617.1577,66.69787780882689,67.9546224909613,1.2567446821344055,50.92907592120289,51.93494119496168,1.005865273758798,2037.0,2049.0,25.8913,31.5781,0.4357,0.3346,759460.7452,16228.3849,184363.7705,1390728.0412,817.4972,260.4798,260.4798,260.4798,260.4798,260.4798
23,23,80,1,0.5900000000000001,0,1,0,1,1,0,406171.7641,23685.8793,1068413.5553,18414.7015,1086828.2568,1.314778135869225,52569.2929,8424079.401,8457617.1577,70.23795823489473,70.71476370681665,0.4768054719219217,50.92907592120289,51.93494119496168,1.005865273758798,2037.0,2052.0,25.8913,32.8803,0.4357,0.3218,759460.7452,16228.3849,184363.7705,1390728.0412,817.4972,195.7023,195.7023,195.7023,195.7023,195.7023
24,24,50,1,0.5700000000000001,0,1,0,1,0,1,391529.6741,45588.6872,363612.2938,73506.0675,437118.3613,2.4219817573037274,97202.9786,8424079.401,8556154.4563,49.20266656794178,52.389687736562756,3.1870211686209733,49.20266656794178,52.389687736562756,3.1870211686209733,2037.0,2037.0,25.1018,25.1018,0.7986,0.7986,741120.633,32231.9043,185389.0394,1396885.1022,1025.1641,1025.1641,1025.1641,1025.1641,1025.1641,1025.1641
25,25,60,1,0.5900000000000001,0,1,0,1,0,1,406171.7641,47006.1711,615670.1143,59481.6268,675151.741,2.2077238464655697,97202.9786,8424079.401,8556154.4563,61.14526068848048,63.48802674547179,2.342766056991313,50.92907592120289,54.227922393986034,3.2988464727831452,2037.0,2043.0,25.1018,28.1135,0.7716,0.6606,767124.8658,32231.9043,192338.7452,1445898.6145,1025.1641,578.6784,578.6784,578.6784,578.6784,578.6784
26,26,70,1,0.5900000000000001,0,1,0,1,0,1,406171.7641,47006.1711,843532.169,59805.2056,903337.3746,2.3998799863504288,97202.9786,8424079.401,8556154.4563,66.69787780882689,69.41643458325832,2.7185567744314323,50.92907592120289,54.227922393986034,3.2988464727831452,2037.0,2048.0,25.1018,30.4192,0.7716,0.6053,767124.8658,32231.9043,192338.7452,1445898.6145,1025.1641,359.3138,359.3138,359.3138,359.3138,359.3138
27,27,80,1,0.5900000000000001,0,1,0,1,0,1,406171.7641,47006.1711,1068413.5553,65619.2086,1134032.7639,2.752789625727585,97202.9786,8424079.401,8556154.4563,70.23795823489473,73.1866670966207,2.9487088617259722,50.92907592120289,54.227922393986034,3.2988464727831452,2037.0,2052.0,25.1018,32.1798,0.7716,0.5748,767124.8658,32231.9043,192338.7452,1445898.6145,1025.1641,245.4161,245.4161,245.4161,245.4161,245.4161
28,28,50,1,0.5700000000000001,0,1,0,1,0,0,391529.6741,24395.7188,363612.2938,52313.0991,415925.3929,0.0,0,8424079.401,8338993.9078,49.20266656794178,49.20266656794178,0.0,49.20266656794178,49.20266656794178,0.0,2037.0,2037.0,26.0737,26.0737,0,0,726816.3206,0,180400.6053,1323142.3188,0,0,0,0,0,0
29,29,60,1,0.5900000000000001,0,1,0,1,0,0,406171.7641,24347.5023,615670.1143,26225.8712,641895.9855,0.0,0,8424079.401,8338993.9078,61.14526068848048,61.14526068848048,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2044.0,26.0737,29.4795,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
30,30,70,1,0.5900000000000001,0,1,0,1,0,0,406171.7641,24347.5023,843532.169,15780.2609,859312.4299,0.0,0,8424079.401,8338993.9078,66.69787780882689,66.69787780882689,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2049.0,26.0737,31.6816,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
31,31,80,1,0.5900000000000001,0,1,0,1,0,0,406171.7641,24347.5023,1068413.5553,10376.73,1078790.2853,0.0,0,8424079.401,8338993.9078,70.23795823489473,70.23795823489473,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2053.0,26.0737,33.3864,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
32,32,50,1,0.5700000000000001,0,1,1,1,1,1,391529.6741,76681.9047,363612.2938,104599.285,468211.5788,2.0732540958867873,175539.2892,8424079.401,8687876.9989,49.20266656794178,55.680735297874875,6.4780687299330895,49.20266656794178,55.680735297874875,6.4780687299330895,2037.0,2037.0,24.0224,24.0224,1.3567,1.3567,751399.6123,57503.938,195450.9094,1474408.6999,1842.6613,1842.6613,1842.6613,1842.6613,1842.6613,1842.6613
33,33,60,1,0.5900000000000001,0,1,1,1,1,1,406171.7641,79770.2108,615670.1143,103642.7528,719312.8671,2.300886809824193,175539.2892,8424079.401,8687876.9989,61.14526068848048,67.05559189485999,5.910331206379509,50.92907592120289,57.63444530832661,6.705369387123726,2037.0,2043.0,24.0224,27.0826,1.3107,1.1292,777764.511,57503.938,203089.2533,1526142.3385,1842.6613,1040.1343,1040.1343,1040.1343,1040.1343,1040.1343
34,34,70,1,0.5900000000000001,0,1,1,1,1,1,406171.7641,79770.2108,843532.169,115574.917,959107.086,2.712252675930757,175539.2892,8424079.401,8687876.9989,66.69787780882689,73.06272756371641,6.364849754889525,50.92907592120289,57.63444530832661,6.705369387123726,2037.0,2048.0,24.0224,29.4165,1.3107,1.0383,777764.511,57503.938,203089.2533,1526142.3385,1842.6613,645.8415,645.8415,645.8415,645.8415,645.8415
35,35,80,1,0.5900000000000001,0,1,1,1,1,1,406171.7641,79770.2108,1068413.5553,133251.048,1201664.6033,3.21415334773783,175539.2892,8424079.401,8687876.9989,70.23795823489473,76.87090476219551,6.632946527300781,50.92907592120289,57.63444530832661,6.705369387123726,2037.0,2052.0,24.0224,31.1891,1.3107,0.9879,777764.511,57503.938,203089.2533,1526142.3385,1842.6613,441.1185,441.1185,441.1185,441.1185,441.1185
36,36,50,1,0.5700000000000001,0,1,1,1,1,0,391529.6741,55727.824,363612.2938,83645.2043,447257.4981,3.6916216659075523,78336.3106,8424079.401,8470716.4503,49.20266656794178,52.50403770321425,3.301371135272464,49.20266656794178,52.50403770321425,3.301371135272464,2037.0,2037.0,24.8676,24.8676,0.6422,0.6422,737095.2999,25272.0337,190479.2493,1400921.5782,817.4972,817.4972,817.4972,817.4972,817.4972,817.4972
37,37,60,1,0.5900000000000001,0,1,1,1,1,0,406171.7641,57342.5107,615670.1143,70264.0939,685934.2082,3.448736398596101,78336.3106,8424079.401,8470716.4503,61.14526068848048,64.74270062834343,3.5974399398629466,50.92907592120289,54.34628464016913,3.4172087189662417,2037.0,2044.0,24.8676,28.3474,0.6204,0.5223,762958.2928,25272.0337,197514.6228,1450076.7213,817.4972,419.5053,419.5053,419.5053,419.5053,419.5053
38,38,70,1,0.5900000000000001,0,1,1,1,1,0,406171.7641,57342.5107,843532.169,71434.4619,914966.6309,3.7279136079820048,78336.3106,8424079.401,8470716.4503,66.69787780882689,70.36632227716083,3.668444468333939,50.92907592120289,54.34628464016913,3.4172087189662417,2037.0,2049.0,24.8676,30.5876,0.6204,0.4814,762958.2928,25272.0337,197514.6228,1450076.7213,817.4972,260.4798,260.4798,260.4798,260.4798,260.4798
39,39,80,1,0.5900000000000001,0,1,1,1,1,0,406171.7641,57342.5107,1068413.5553,78049.297,1146462.8523,4.208238417756322,78336.3106,8424079.401,8470716.4503,70.23795823489473,73.12646349301619,2.8885052581214548,50.92907592120289,54.34628464016913,3.4172087189662417,2037.0,2052.0,24.8676,31.8831,0.6204,0.4636,762958.2928,25272.0337,197514.6228,1450076.7213,817.4972,195.7023,195.7023,195.7023,195.7023,195.7023
40,40,50,1,0.5700000000000001,0,1,1,1,0,1,391529.6741,45588.6872,363612.2938,73506.0675,437118.3613,2.4219817573037274,97202.9786,8424079.401,8556154.4563,49.20266656794178,52.389687736562756,3.1870211686209733,49.20266656794178,52.389687736562756,3.1870211686209733,2037.0,2037.0,25.1018,25.1018,0.7986,0.7986,741120.633,32231.9043,185389.0394,1396885.1022,1025.1641,1025.1641,1025.1641,1025.1641,1025.1641,1025.1641
41,41,60,1,0.5900000000000001,0,1,1,1,0,1,406171.7641,47006.1711,615670.1143,59481.6268,675151.741,2.2077238464655697,97202.9786,8424079.401,8556154.4563,61.14526068848048,63.48802674547179,2.342766056991313,50.92907592120289,54.227922393986034,3.2988464727831452,2037.0,2043.0,25.1018,28.1135,0.7716,0.6606,767124.8658,32231.9043,192338.7452,1445898.6145,1025.1641,578.6784,578.6784,578.6784,578.6784,578.6784
42,42,70,1,0.5900000000000001,0,1,1,1,0,1,406171.7641,47006.1711,843532.169,59805.2056,903337.3746,2.3998799863504288,97202.9786,8424079.401,8556154.4563,66.69787780882689,69.41643458325832,2.7185567744314323,50.92907592120289,54.227922393986034,3.2988464727831452,2037.0,2048.0,25.1018,30.4192,0.7716,0.6053,767124.8658,32231.9043,192338.7452,1445898.6145,1025.1641,359.3138,359.3138,359.3138,359.3138,359.3138
43,43,80,1,0.5900000000000001,0,1,1,1,0,1,406171.7641,47006.1711,1068413.5553,65619.2086,1134032.7639,2.752789625727585,97202.9786,8424079.401,8556154.4563,70.23795823489473,73.1866670966207,2.9487088617259722,50.92907592120289,54.227922393986034,3.2988464727831452,2037.0,2052.0,25.1018,32.1798,0.7716,0.5748,767124.8658,32231.9043,192338.7452,1445898.6145,1025.1641,245.4161,245.4161,245.4161,245.4161,245.4161
44,44,50,1,0.5700000000000001,0,1,1,1,0,0,391529.6741,24395.7188,363612.2938,52313.0991,415925.3929,0.0,0,8424079.401,8338993.9078,49.20266656794178,49.20266656794178,0.0,49.20266656794178,49.20266656794178,0.0,2037.0,2037.0,26.0737,26.0737,0,0,726816.3206,0,180400.6053,1323142.3188,0,0,0,0,0,0
45,45,60,1,0.5900000000000001,0,1,1,1,0,0,406171.7641,24347.5023,615670.1143,26225.8712,641895.9855,0.0,0,8424079.401,8338993.9078,61.14526068848048,61.14526068848048,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2044.0,26.0737,29.4795,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
46,46,70,1,0.5900000000000001,0,1,1,1,0,0,406171.7641,24347.5023,843532.169,15780.2609,859312.4299,0.0,0,8424079.401,8338993.9078,66.69787780882689,66.69787780882689,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2049.0,26.0737,31.6816,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
47,47,80,1,0.5900000000000001,0,1,1,1,0,0,406171.7641,24347.5023,1068413.5553,10376.73,1078790.2853,0.0,0,8424079.401,8338993.9078,70.23795823489473,70.23795823489473,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2053.0,26.0737,33.3864,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
48,48,50,1,0.5700000000000001,1,0,1,0,1,1,391529.6741,79985.5064,363612.2938,107902.8867,471515.1805,4.661204873817641,74658.2819,8424079.401,8360222.9921,49.20266656794178,53.22264666100579,4.019980093064005,49.20266656794178,53.22264666100579,4.019980093064005,2037.0,2037.0,24.2985,24.2985,0.6036,0.6036,733202.8305,27370.7122,200508.7428,1432597.466,0,0,0,0,0,0
49,49,60,1,0.5900000000000001,1,0,1,0,1,1,406171.7641,82472.248,615670.1143,99954.7121,715624.8264,4.724237550670529,74658.2819,8424079.401,8360222.9921,61.14526068848048,65.30629271463444,4.1610320261539675,50.92907592120289,55.090107947356856,4.1610320261539675,2037.0,2044.0,24.2985,27.7591,0.5831,0.4933,758929.2456,27370.7122,207920.0739,1482864.0438,0,0,0,0,0,0
50,50,70,1,0.5900000000000001,1,0,1,0,1,1,406171.7641,82472.248,843532.169,105848.0131,949380.1821,5.230820117267901,74658.2819,8424079.401,8360222.9921,66.69787780882689,70.85890983498086,4.161032026153975,50.92907592120289,55.090107947356856,4.1610320261539675,2037.0,2049.0,24.2985,29.9627,0.5831,0.4554,758929.2456,27370.7122,207920.0739,1482864.0438,0,0,0,0,0,0
51,51,80,1,0.5900000000000001,1,0,1,0,1,1,406171.7641,82472.248,1068413.5553,117028.6185,1185442.1739,5.920849949865111,74658.2819,8424079.401,8360222.9921,70.23795823489473,74.39899026104871,4.161032026153975,50.92907592120289,55.090107947356856,4.1610320261539675,2037.0,2053.0,24.2985,31.6513,0.5831,0.4342,758929.2456,27370.7122,207920.0739,1482864.0438,0,0,0,0,0,0
52,52,50,1,0.5700000000000001,1,0,1,0,1,0,391529.6741,68882.4861,363612.2938,96799.8664,460412.1602,5.588452089401186,54507.1527,8424079.401,8355831.9711,49.20266656794178,52.37557449951955,3.1729079315777637,49.20266656794178,52.37557449951955,3.1729079315777637,2037.0,2037.0,24.6516,24.6516,0.4478,0.4478,731849.2182,20168.8682,196743.4147,1409173.6613,0,0,0,0,0,0
53,53,60,1,0.5900000000000001,1,0,1,0,1,0,406171.7641,70827.2863,615670.1143,85010.8829,700680.9972,5.377662886536058,54507.1527,8424079.401,8355831.9711,61.14526068848048,64.42949872292061,3.284238034440139,50.92907592120289,54.213313955643024,3.284238034440139,2037.0,2044.0,24.6516,28.1047,0.4327,0.3651,757528.1382,20168.8682,203922.2945,1458618.3512,0,0,0,0,0,0
54,54,70,1,0.5900000000000001,1,0,1,0,1,0,406171.7641,70827.2863,843532.169,87440.364,930972.533,5.807202740509963,54507.1527,8424079.401,8355831.9711,66.69787780882689,69.98211584326704,3.2842380344401465,50.92907592120289,54.213313955643024,3.284238034440139,2037.0,2049.0,24.6516,30.3093,0.4327,0.3367,757528.1382,20168.8682,203922.2945,1458618.3512,0,0,0,0,0,0
55,55,80,1,0.5900000000000001,1,0,1,0,1,0,406171.7641,70827.2863,1068413.5553,95089.5779,1163503.1332,6.485695696654581,54507.1527,8424079.401,8355831.9711,70.23795823489473,73.52219626933487,3.2842380344401465,50.92907592120289,54.213313955643024,3.284238034440139,2037.0,2053.0,24.6516,32.002,0.4327,0.3208,757528.1382,20168.8682,203922.2945,1458618.3512,0,0,0,0,0,0
56,56,50,1,0.5700000000000001,1,0,1,0,0,1,391529.6741,35564.9524,363612.2938,63482.3327,427094.6265,9.282293478195143,20151.1292,8424079.401,8343384.9288,49.20266656794178,50.053227422087325,0.8505608541455367,49.20266656794178,50.053227422087325,0.8505608541455367,2037.0,2037.0,25.6738,25.6738,0.1733,0.1733,728169.9329,7201.844,184198.5358,1346664.9392,0,0,0,0,0,0
57,57,60,1,0.5900000000000001,1,0,1,0,0,1,406171.7641,36061.1044,615670.1143,41191.107,656861.2213,6.477739368106783,20151.1292,8424079.401,8343384.9288,61.14526068848048,62.02566578312236,0.8804050946418865,50.92907592120289,51.809481015844774,0.8804050946418865,2037.0,2044.0,25.6738,29.0958,0.1674,0.1402,753719.7551,7201.844,190761.873,1393916.3406,0,0,0,0,0,0
