,ID,D,E_Brent,Water_Injected_opex,reuti_u,capex_h,opex_h,tarifa_h,produc_h,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
12,12,1,50,0.3,0,1,0.9,1,1,1,0,0,1,0,8738.5789,-35163.8659,8738.5789,-35163.8659,-26425.287,0.0,873968.4235,380028.9633,1499984.4047,58.664967263999976,0.5926933336480001,25.67202284469478,25.07932951104678,0.5926933336480001,25.67202284469478,25.07932951104678,2054.0,2054.0,20.0431,20.0431,15.0106,15.0106,113992.8272,193652.5553,0,293595.5692,12375.4738,113992.8272,193652.5553,0,293595.5692,12375.4738
13,13,1,50,0.3,0,1,0.9,1,1,1,0,0,0,1,8738.5789,-43811.447,8738.5789,-43811.447,-35072.8681,0.0,418200.628,380028.9633,813947.1444,21.78366081599998,0.5926933336480001,9.412245781518665,8.819552447870665,0.5926933336480001,9.412245781518665,8.819552447870665,2055.0,2055.0,26.7001,26.7001,19.621,19.621,51206.4835,63329.9765,0,81940.0389,2476.4469,51206.4835,63329.9765,0,81940.0389,2476.4469
14,14,1,50,0.3,0,1,0.9,1,1,1,1,1,1,1,8738.5789,-47404.7562,8738.5789,-47404.7562,-38666.1773,0.0,2341245.8606,380028.9633,3398921.7167,158.9011663199999,0.5926933336480001,71.36021071830042,70.76751738465242,0.5926933336480001,71.36021071830042,70.76751738465242,2056.0,2056.0,18.7023,18.7023,14.347,14.347,279491.5367,561030.9982,33678.9557,860545.6289,25010.3156,279491.5367,561030.9982,33678.9557,860545.6289,25010.3156
15,15,1,50,0.3,0,1,1.1,1,1,1,1,0,0,0,7965.0424,89742.2129,7965.0424,89742.2129,97707.2553,0.6077213577608233,392658.6658,397391.446,1159679.8717,45.07856308799996,0.5345833115480001,19.089187144618162,18.55460383307016,0.5345833115480001,19.089187144618162,18.55460383307016,2049.0,2049.0,17.092,17.092,9.068,9.068,108023.4595,147669.7903,0,363230.6201,9830.115,108023.4595,147669.7903,0,363230.6201,9830.115
16,16,1,50,0.3,0,1,1.1,1,1,1,0,1,0,0,7965.0424,-74169.7391,7965.0424,-74169.7391,-66204.6967,0.0,656418.1434,397391.446,1283506.3765,38.81524348799997,0.5345833115480001,15.612606906343984,15.078023594795985,0.5345833115480001,15.612606906343984,15.078023594795985,2050.0,2050.0,23.4928,23.4928,18.5607,18.5607,95851.8882,156378.6761,0,199676.5647,13650.6971,95851.8882,156378.6761,0,199676.5647,13650.6971
17,17,1,50,0.3,0,1,1.1,1,1,1,0,0,1,0,7965.0424,-52039.8597,7965.0424,-52039.8597,-44074.8173,0.0,873968.4235,397391.446,1693316.8917,58.664967263999976,0.5345833115480001,24.702210091608116,24.16762678006011,0.5345833115480001,24.702210091608116,24.16762678006011,2052.0,2052.0,21.9749,21.9749,15.5989,15.5989,126897.8443,193652.5553,0,291449.9056,14974.3233,126897.8443,193652.5553,0,291449.9056,14974.3233
18,18,1,50,0.3,0,1,1.1,1,1,1,0,0,0,1,7965.0424,-49373.3896,7965.0424,-49373.3896,-41408.3472,0.0,418200.628,397391.446,907112.2371,21.78366081599998,0.5345833115480001,8.90843394892533,8.37385063737733,0.5345833115480001,8.90843394892533,8.37385063737733,2053.0,2053.0,29.4297,29.4297,20.7306,20.7306,56008.2949,63329.9765,0,80926.425,2996.5008,56008.2949,63329.9765,0,80926.425,2996.5008
19,19,1,50,0.3,0,1,1.1,1,1,1,1,1,1,1,7965.0424,-82958.6219,7965.0424,-82958.6219,-74993.5796,0.0,2341245.8606,397391.446,3851441.039,158.9011663199999,0.5345833115480001,68.98814311800363,68.45355980645563,0.5345833115480001,68.98814311800363,68.45355980645563,2054.0,2054.0,20.4449,20.4449,14.8364,14.8364,311673.0727,561030.9982,28235.3273,856208.3005,30262.4818,311673.0727,561030.9982,28235.3273,856208.3005,30262.4818
20,20,1,50,0.3,0,1,1,0.9,1,1,1,0,0,0,8670.0283,98536.9822,8670.0283,98536.9822,107207.0105,0.6765907781005741,392658.6658,383560.6541,1072785.0531,45.07856308799996,0.5926933336480001,19.64927393066483,19.05658059701683,0.5926933336480001,19.64927393066483,19.05658059701683,2051.0,2051.0,16.3571,16.3571,8.81,8.81,100503.9471,147669.7903,1375.178,364879.9879,8124.062,100503.9471,147669.7903,1375.178,364879.9879,8124.062
21,21,1,50,0.3,0,1,1,0.9,1,1,0,1,0,0,8670.0283,-64635.5694,8670.0283,-64635.5694,-55965.5411,0.0,656418.1434,383560.6541,1187068.4868,38.81524348799997,0.5926933336480001,16.330176019643986,15.737482685995985,0.5926933336480001,16.330176019643986,15.737482685995985,2052.0,2052.0,22.3408,22.3408,17.7454,17.7454,89902.6414,156378.6761,0,201597.3443,11281.5679,89902.6414,156378.6761,0,201597.3443,11281.5679
